UMAP1,UMAP2,cluster,kecamata,year,month
4.2514863,-6.979986,6,Sukasari,2022,6
19.603428,-0.21478388,1,Cicendo,2022,6
7.8482227,-7.553591,6,Sukajadi,2022,6
7.7961507,12.334907,7,Bojongloa Kaler,2022,6
17.672901,8.146546,3,Andir,2022,6
-0.70435864,-4.3112164,2,Cidadap,2022,6
6.3900666,-1.2095276,4,Bandung Wetan,2022,6
13.87039,9.105417,3,Astana Anyar,2022,6
16.65313,13.815671,3,Lengkong,2022,6
20.316572,3.655961,1,Cibeunying Kidul,2022,6
14.088349,10.282893,3,Regol,2022,6
12.544847,8.829353,3,Batununggal,2022,6
16.530937,12.983666,3,Bojongloa Kidul,2022,6
4.413378,-8.184518,6,Cibeunying Kaler,2022,6
13.589054,10.121241,3,Bandung Kulon,2022,6
12.306079,9.348751,3,Kiaracondong,2022,6
18.659693,0.25606656,1,Sumur Bandung,2022,6
12.33086,9.059086,3,Antapani,2022,6
17.951946,14.212729,3,Bandung Kidul,2022,6
17.258604,14.6142235,3,Arcamanik,2022,6
2.7970185,-7.952612,6,Cibiru,2022,6
17.283274,14.20717,3,Buahbatu,2022,6
17.590708,14.248971,3,Rancasari,2022,6
-5.6780286,7.907693,5,Rancabali,2022,6
-3.9116566,-0.4752944,2,Kutawaringin,2022,6
-1.6507057,-3.3697753,2,Cangkuang,2022,6
-1.1748394,-0.22471398,2,Cimenyan,2022,6
-2.2226458,0.76469076,2,Cilengkrang,2022,6
14.217183,1.3698183,1,Cileunyi,2022,6
14.940971,-3.5152683,1,Bojongsoang,2022,6
17.299604,-2.1147254,1,Margahayu,2022,6
-0.8863972,1.2602893,2,Cimaung,2022,6
-6.5221815,8.772036,5,Pangalengan,2022,6
-2.6753795,-1.6923822,2,Arjasari,2022,6
15.462238,2.2564197,1,Margaasih,2022,6
0.5996298,-1.7960551,2,Banjaran,2022,6
9.461728,-2.0454895,4,Pameungpeuk,2022,6
9.359605,-2.2077918,4,Katapang,2022,6
18.044006,14.058207,3,Dayeuhkolot,2022,6
14.472916,-3.856891,1,Rancaekek,2022,6
-0.058442473,-3.318291,2,Ciparay,2022,6
-2.90478,-1.4672198,2,Nagreg,2022,6
-1.982527,-2.9076765,2,Cikancung,2022,6
-2.3706613,-2.3439875,2,Cicalengka,2022,6
-0.9665807,1.3061268,2,Ciwidey,2022,6
-1.452477,-3.555463,2,Soreang,2022,6
-7.1489086,6.89721,5,Pasirjambu,2022,6
0.93412095,7.1369343,0,Kertasari,2022,6
13.885807,0.9755898,1,Baleendah,2022,6
3.5442708,5.3589225,0,Pacet,2022,6
-1.7316518,-2.3423033,2,Paseh,2022,6
-1.1743745,2.567099,2,Ibun,2022,6
6.9546795,-0.4892486,4,Majalaya,2022,6
9.011506,-2.2672403,4,Solokanjeruk,2022,6
7.517216,9.01064,0,Padalarang,2022,6
14.395867,1.9579096,1,Batujajar,2022,6
1.0630282,-2.8697348,2,Ngamprah,2022,6
6.35597,15.745602,7,Cipatat,2022,6
2.1450424,4.538192,0,Lembang,2022,6
4.3952007,16.16084,7,Cikalongwetan,2022,6
1.8797543,19.915266,7,Cipeundeuy,2022,6
1.7413085,4.4629884,0,Parongpong,2022,6
4.07824,10.090936,0,Cisarua,2022,6
3.7654073,7.6671743,0,Cililin,2022,6
6.476662,16.934929,7,Cipongkor,2022,6
14.279009,1.8320605,1,Cihampelas,2022,6
2.2556822,15.183644,7,Gununghalu,2022,6
7.678941,8.157424,0,Saguling,2022,6
5.3617043,18.03061,7,Rongga,2022,6
2.2436042,9.188386,0,Sindangkerta,2022,6
15.076095,13.652477,3,Cimahi Tengah,2022,6
4.6042542,-7.3169203,6,Cimahi Utara,2022,6
20.440905,0.21834822,1,Cimahi Selatan,2022,6
18.52969,15.577223,3,Panyileukan,2022,7
17.425102,15.35988,3,Cinambo,2022,7
4.953707,-8.229562,6,Ujungberung,2022,7
14.483852,-4.343626,1,Gedebage,2022,7
10.802986,5.3289537,4,Mandalajati,2022,7
5.475664,-6.860575,6,Coblong,2022,7
13.550743,10.915866,3,Babakan Ciparay,2022,7
5.604264,-6.3315177,6,Sukasari,2022,7
18.55082,-0.21260355,1,Cicendo,2022,7
7.4928493,-7.15083,6,Sukajadi,2022,7
7.701568,12.205832,7,Bojongloa Kaler,2022,7
17.84415,8.329427,3,Andir,2022,7
3.129365,-3.0095541,2,Cidadap,2022,7
6.24699,-1.8705795,4,Bandung Wetan,2022,7
13.724916,9.236417,3,Astana Anyar,2022,7
15.463089,13.575528,3,Lengkong,2022,7
20.504318,3.5510256,1,Cibeunying Kidul,2022,7
13.457956,10.830937,3,Regol,2022,7
13.028494,8.571589,3,Batununggal,2022,7
15.737655,13.382327,3,Bojongloa Kidul,2022,7
5.501365,-7.0742354,6,Cibeunying Kaler,2022,7
13.268907,10.759264,3,Bandung Kulon,2022,7
12.437021,9.336618,3,Kiaracondong,2022,7
18.618916,-0.10882373,1,Sumur Bandung,2022,7
13.069579,8.973531,3,Antapani,2022,7
17.261806,15.748338,3,Bandung Kidul,2022,7
16.279285,15.242039,3,Arcamanik,2022,7
4.1096807,-8.085069,6,Cibiru,2022,7
16.562315,15.467921,3,Buahbatu,2022,7
16.769785,15.684448,3,Rancasari,2022,7
-5.467769,7.923628,5,Rancabali,2022,7
-4.33467,-0.28636888,2,Kutawaringin,2022,7
-1.785704,-3.815216,2,Cangkuang,2022,7
0.26840946,0.02359752,2,Cimenyan,2022,7
-0.3192188,0.6697835,2,Cilengkrang,2022,7
14.067355,1.5413512,1,Cileunyi,2022,7
15.210333,-3.857481,1,Bojongsoang,2022,7
17.626799,-2.2463992,1,Margahayu,2022,7
-0.8430534,1.1152034,2,Cimaung,2022,7
-6.51678,8.913523,5,Pangalengan,2022,7
-3.1592216,-1.9382764,2,Arjasari,2022,7
15.672638,2.5649903,1,Margaasih,2022,7
-1.5805578,-2.7239144,2,Banjaran,2022,7
10.173675,-2.1438339,4,Pameungpeuk,2022,7
9.813437,-2.521192,4,Katapang,2022,7
17.275787,15.679504,3,Dayeuhkolot,2022,7
14.736579,-4.2516203,1,Rancaekek,2022,7
-0.5840804,-3.660518,2,Ciparay,2022,7
-0.8142104,-1.830612,2,Nagreg,2022,7
-1.9324325,-3.289646,2,Cikancung,2022,7
-1.8405801,-2.6007578,2,Cicalengka,2022,7
-1.6449592,1.3466743,2,Ciwidey,2022,7
-1.5101235,-4.234494,2,Soreang,2022,7
-7.0923553,6.702485,5,Pasirjambu,2022,7
0.6516912,7.4140077,0,Kertasari,2022,7
13.493596,0.9418206,1,Baleendah,2022,7
3.462626,5.185013,0,Pacet,2022,7
-1.4799343,-2.4826994,2,Paseh,2022,7
-0.975201,1.7795678,2,Ibun,2022,7
6.8169355,-0.16928297,4,Majalaya,2022,7
9.634114,-2.2408988,4,Solokanjeruk,2022,7
7.099164,9.337156,0,Padalarang,2022,7
15.120179,2.2377124,1,Batujajar,2022,7
2.7340226,-2.5538087,2,Ngamprah,2022,7
6.4238586,15.563581,7,Cipatat,2022,7
1.74007,4.3331475,0,Lembang,2022,7
